date,city,total_consumption,residential,commercial,industrial,cooling_specific
2020-09-05,New York,7345,3058,1703,746,1272
2020-09-06,New York,6388,3181,1607,1815,1011
2020-09-07,New York,7889,3008,2043,1762,1007
2020-09-08,New York,7565,2288,1848,1469,1012
2020-09-09,New York,4091,1468,1165,1200,625
2020-09-10,New York,8405,2704,2237,1298,1061
2020-09-11,New York,9224,2944,3389,2063,1173
2020-09-12,New York,8389,3892,2931,2426,1643
2020-09-13,New York,7195,2804,2804,1812,1022
2020-09-14,New York,6821,2416,2436,924,807
2020-09-15,New York,6135,2607,1811,1336,722
2020-09-16,New York,7148,3335,2727,1123,1272
2020-09-17,New York,7336,2722,2395,1526,929
2020-09-18,New York,8230,2585,1922,1912,1522
2020-09-19,New York,7771,2744,2834,793,1278
2020-09-20,New York,7881,3421,2113,1868,951
2020-09-21,New York,6244,2815,1516,767,756
2020-09-22,New York,7072,2787,2037,1249,812
2020-09-23,New York,5870,2602,1451,1652,1150
2020-09-24,New York,7016,2255,2785,1824,718
2020-09-25,New York,7626,3553,1966,1178,1394
2020-09-26,New York,7707,2880,1650,2214,810
2020-09-27,New York,6944,2537,2271,764,1357
2020-09-28,New York,6279,2507,1282,1802,1149
2020-09-29,New York,8709,4166,2349,1000,1248
2020-09-30,New York,5854,2577,1339,1008,650
2020-10-01,New York,7225,2413,2582,1614,977
2020-10-02,New York,6975,3317,1422,1801,710
2020-10-03,New York,7922,3585,2980,1440,1132
2020-10-04,New York,7135,3082,1493,1049,1172
2020-10-05,New York,7023,2961,1463,1707,1107
2020-10-06,New York,6963,2581,1760,1873,1320
2020-10-07,New York,6989,2664,1595,1704,1238
2020-10-08,New York,7572,3360,1581,2107,983
2020-10-09,New York,7301,3009,2007,993,775
2020-10-10,New York,8069,3710,2360,1576,1279
2020-10-11,New York,8549,3873,1919,1936,1410
2020-10-12,New York,5901,2728,1972,604,606
2020-10-13,New York,8298,2917,2925,1839,1462
2020-10-14,New York,7974,3225,3152,2273,1374
2020-10-15,New York,7154,3407,2286,1738,1295
2020-10-16,New York,7777,3658,1879,1669,851
2020-10-17,New York,7434,3607,2805,1099,973
2020-10-18,New York,5276,1616,2037,560,736
2020-10-19,New York,6752,3137,2153,1550,761
2020-10-20,New York,7003,2568,2358,1424,1286
2020-10-21,New York,5521,2733,1947,593,1014
2020-10-22,New York,6127,2636,1386,944,954
2020-10-23,New York,5441,1933,1261,804,1029
2020-10-24,New York,7027,3178,1863,1455,717
2020-10-25,New York,6699,3134,2201,850,1011
2020-10-26,New York,7619,2981,1797,1335,1386
2020-10-27,New York,7477,2597,2432,1179,880
2020-10-28,New York,6911,3425,2381,1300,1096
2020-10-29,New York,7694,2756,2066,1945,1353
2020-10-30,New York,8220,3487,2539,1787,880
2020-10-31,New York,5755,2839,1594,1484,602
2020-11-01,New York,6233,2404,1528,1426,1164
2020-11-02,New York,7298,3509,2727,1510,942
2020-11-03,New York,7146,2704,2424,1697,1136
2020-11-04,New York,4977,2472,1478,1051,657
2020-11-05,New York,6238,2965,1460,765,1059
2020-11-06,New York,7402,2763,1532,2141,1399
2020-11-07,New York,7625,2824,2540,2115,1082
2020-11-08,New York,5950,2154,2299,731,865
2020-11-09,New York,8349,2828,1841,1894,968
2020-11-10,New York,5484,1755,2000,746,923
2020-11-11,New York,7759,3859,2496,1439,947
2020-11-12,New York,6006,2845,1257,1204,833
2020-11-13,New York,4717,1879,1731,1276,593
2020-11-14,New York,5943,2055,1481,1704,754
2020-11-15,New York,5741,2228,1421,1598,999
2020-11-16,New York,7192,2285,2127,894,1228
2020-11-17,New York,7866,3079,2443,992,966
2020-11-18,New York,6112,2062,1515,1709,738
2020-11-19,New York,7007,2564,1485,1353,1045
2020-11-20,New York,8314,3663,2936,2048,1573
2020-11-21,New York,6485,2828,2199,1521,1046
2020-11-22,New York,6966,2282,2355,1584,1324
2020-11-23,New York,7749,2827,2676,1355,1402
2020-11-24,New York,8222,3591,3197,1140,1482
2020-11-25,New York,6766,2888,2592,1269,1332
2020-11-26,New York,6337,2593,2112,1765,663
2020-11-27,New York,7573,2283,1840,2241,1216
2020-11-28,New York,7799,3168,2010,914,978
2020-11-29,New York,6781,3211,2439,1640,759
2020-11-30,New York,7824,2429,2271,2208,914
2020-12-01,New York,6896,3308,1528,791,1107
2020-12-02,New York,6606,2033,1534,1408,841
2020-12-03,New York,5907,2509,1584,1391,1121
2020-12-04,New York,7906,2660,2189,794,976
2020-12-05,New York,8147,3060,2645,1424,1597
2020-12-06,New York,7563,3207,2089,1262,923
2020-12-07,New York,7014,2217,1534,1082,1307
2020-12-08,New York,6867,2307,2400,1483,1015
2020-12-09,New York,8928,3622,1943,1265,1107
2020-12-10,New York,8839,3740,2344,2642,925
2020-12-11,New York,7329,2708,2239,1671,1384
2020-12-12,New York,6792,2439,2201,1141,752
2020-12-13,New York,6966,2654,2495,1099,973
2020-12-14,New York,5665,2109,1807,876,939
2020-12-15,New York,7119,2169,2293,1978,1391
2020-12-16,New York,8659,4326,2929,1446,1539
2020-12-17,New York,7040,3121,2195,1633,887
2020-12-18,New York,7267,2525,2865,1620,1233
2020-12-19,New York,6653,2916,2127,1942,935
2020-12-20,New York,6147,2011,1370,1300,1103
2020-12-21,New York,7104,3187,2435,2075,739
2020-12-22,New York,7472,2276,2422,1242,1175
2020-12-23,New York,7659,2341,1579,1037,1186
2020-12-24,New York,8667,3010,2585,1803,1474
2020-12-25,New York,6137,2417,1310,1694,1086
2020-12-26,New York,6800,2604,1539,1546,1003
2020-12-27,New York,5500,1996,1882,776,737
2020-12-28,New York,6233,2692,1603,846,907
2020-12-29,New York,6289,1928,1721,1243,917
2020-12-30,New York,6515,2485,1421,1244,1128
2020-12-31,New York,7325,2284,2717,1656,794
2021-01-01,New York,5981,2498,2258,1574,1181
2021-01-02,New York,8384,2867,2170,1124,1536
2021-01-03,New York,6911,3333,1761,1180,1285
2021-01-04,New York,6038,2642,1777,727,848
2021-01-05,New York,7275,3002,2418,779,817
2021-01-06,New York,4320,2005,1411,630,776
2021-01-07,New York,7244,2314,1808,1976,1082
2021-01-08,New York,6944,2483,1816,1140,1349
2021-01-09,New York,6178,3051,2009,733,1126
2021-01-10,New York,7768,2389,2709,1418,777
2021-01-11,New York,7347,2840,2119,841,785
2021-01-12,New York,6072,2197,2278,642,915
2021-01-13,New York,7020,2437,2124,1159,1366
2021-01-14,New York,7075,3037,1659,929,1067
2021-01-15,New York,7370,2430,1487,1822,812
2021-01-16,New York,9363,3049,2756,2236,1593
2021-01-17,New York,7852,3631,1928,1345,1105
2021-01-18,New York,6121,2277,2428,999,1051
2021-01-19,New York,8028,3568,2036,1811,965
2021-01-20,New York,7908,2744,1979,2015,1230
2021-01-21,New York,7418,2413,2891,2148,1378
2021-01-22,New York,6268,2385,1574,1858,1212
2021-01-23,New York,7282,2896,2027,1181,1321
2021-01-24,New York,8257,2514,2137,2368,1446
2021-01-25,New York,7514,2778,2688,2195,782
2021-01-26,New York,6599,2066,1919,1762,1115
2021-01-27,New York,7706,2637,1976,1230,1061
2021-01-28,New York,5761,2070,1815,1257,957
2021-01-29,New York,6897,3343,2749,1468,985
2021-01-30,New York,6441,2404,1512,714,869
2021-01-31,New York,7079,2231,2774,2106,1219
2021-02-01,New York,7650,3605,1807,1080,781
2021-02-02,New York,7660,2567,1639,1948,1491
2021-02-03,New York,5715,2452,1338,673,920
2021-02-04,New York,6327,2409,2519,1697,720
2021-02-05,New York,8065,2585,3148,2272,1135
2021-02-06,New York,7387,3118,2500,1637,812
2021-02-07,New York,7998,2445,3131,1846,1499
2021-02-08,New York,8371,3876,1780,2050,1024
2021-02-09,New York,7589,2915,1927,1761,1098
2021-02-10,New York,5307,2009,1612,594,697
2021-02-11,New York,8402,2551,2421,1001,1106
2021-02-12,New York,6685,2482,2471,1560,922
2021-02-13,New York,5791,2454,1560,698,885
2021-02-14,New York,6685,2491,1660,1288,853
2021-02-15,New York,6491,2590,1740,1056,899
2021-02-16,New York,8468,2552,2599,2080,1326
2021-02-17,New York,6002,2301,2119,1154,1002
2021-02-18,New York,7345,2690,1701,1254,1031
2021-02-19,New York,5973,1908,2155,1643,976
2021-02-20,New York,8851,3083,2226,1364,1106
2021-02-21,New York,6707,2642,2134,1639,1267
2021-02-22,New York,7612,3717,1777,1853,891
2021-02-23,New York,8529,4046,2838,1219,939
2021-02-24,New York,7868,3105,1837,2084,835
2021-02-25,New York,5849,2917,1549,1048,675
2021-02-26,New York,6437,2936,2193,1595,850
2021-02-27,New York,8431,3600,2744,1534,1449
2021-02-28,New York,8017,3540,2695,1048,1033
2021-03-01,New York,6380,2043,2084,1614,1227
2021-03-02,New York,6114,2223,2137,1013,1024
2021-03-03,New York,4301,2063,1658,1122,674
2021-03-04,New York,8082,2843,1817,1559,1500
2021-03-05,New York,5121,1914,1761,1298,560
2021-03-06,New York,7322,3554,1979,2020,747
2021-03-07,New York,5438,2118,2139,1024,1012
2021-03-08,New York,6647,1999,1444,1350,948
2021-03-09,New York,6922,2429,2124,1509,740
2021-03-10,New York,8107,3483,3151,1179,1358
2021-03-11,New York,8955,2761,3113,1732,1167
2021-03-12,New York,7484,2740,2124,1142,1481
2021-03-13,New York,8099,2654,1648,963,1599
2021-03-14,New York,8152,2935,2312,1679,1336
2021-03-15,New York,6890,2235,2319,1991,972
2021-03-16,New York,7225,2268,2177,1971,1143
2021-03-17,New York,7621,2774,2516,2031,1430
2021-03-18,New York,5805,2453,1550,974,593
2021-03-19,New York,5313,1799,1646,893,760
2021-03-20,New York,7087,2386,2189,1431,1298
2021-03-21,New York,5925,1800,1693,740,777
2021-03-22,New York,6170,2089,1965,1323,943
2021-03-23,New York,4942,1778,1302,885,929
2021-03-24,New York,5901,2582,1494,672,1180
2021-03-25,New York,8196,4017,1693,1000,1265
2021-03-26,New York,7607,3318,1910,1246,1227
2021-03-27,New York,7556,3182,1533,1905,943
2021-03-28,New York,5385,1811,1291,952,726
2021-03-29,New York,8750,3948,3065,2092,980
2021-03-30,New York,7485,2774,1536,2219,839
2021-03-31,New York,7941,3824,2129,1694,1195
2021-04-01,New York,8051,2533,2092,1560,1585
2021-04-02,New York,7184,2832,2201,1441,1244
2021-04-03,New York,6168,1990,1326,998,838
2021-04-04,New York,7405,2904,2623,1074,934
2021-04-05,New York,7254,3122,2142,1001,806
2021-04-06,New York,5828,2004,2266,1358,654
2021-04-07,New York,5626,1866,1906,969,694
2021-04-08,New York,7465,2926,2472,1681,1004
2021-04-09,New York,6219,2802,1337,1852,652
2021-04-10,New York,6138,2647,2265,837,991
2021-04-11,New York,7890,3576,1634,2077,899
2021-04-12,New York,8492,2914,3380,1203,1610
2021-04-13,New York,6335,2663,2056,976,985
2021-04-14,New York,8245,3196,1972,1717,971
2021-04-15,New York,5806,2393,1857,1102,687
2021-04-16,New York,8539,3592,2422,2560,992
2021-04-17,New York,6516,2878,2535,1874,1255
2021-04-18,New York,8452,2613,2448,1362,1316
2021-04-19,New York,8772,2902,2175,1940,929
2021-04-20,New York,7760,3744,2087,875,883
2021-04-21,New York,6299,2792,1556,1685,915
2021-04-22,New York,10447,4001,3544,2064,1770
2021-04-23,New York,5118,1552,1823,1133,796
2021-04-24,New York,5334,2105,1913,1056,1047
2021-04-25,New York,7288,2566,1872,2170,1304
2021-04-26,New York,7249,3540,2694,1041,1055
2021-04-27,New York,5131,2541,1581,1262,543
2021-04-28,New York,8561,3748,3374,1686,1193
2021-04-29,New York,7399,3264,2624,1334,807
2021-04-30,New York,8136,3957,3048,2006,1121
2021-05-01,New York,6779,2318,1772,1918,916
2021-05-02,New York,7375,3615,1629,1953,1015
2021-05-03,New York,7269,3542,2883,2059,1094
2021-05-04,New York,6373,2547,1829,1038,1089
2021-05-05,New York,8276,4116,2060,2077,872
2021-05-06,New York,6887,3005,2333,1950,960
2021-05-07,New York,7008,2478,2732,1684,868
2021-05-08,New York,5454,1934,1964,993,839
2021-05-09,New York,6604,2975,2370,1035,1217
2021-05-10,New York,6848,2350,2523,1694,1224
2021-05-11,New York,7291,2709,2615,2049,1196
2021-05-12,New York,6358,2322,2456,1804,803
2021-05-13,New York,7835,2354,2261,1736,1180
2021-05-14,New York,5549,1888,1659,1096,875
2021-05-15,New York,5468,2291,2038,593,637
2021-05-16,New York,9523,4444,3652,2251,1166
2021-05-17,New York,8121,4025,3157,2249,1093
2021-05-18,New York,6886,2814,2516,833,1149
2021-05-19,New York,9002,4064,2876,1551,1568
2021-05-20,New York,7074,2124,2420,933,800
2021-05-21,New York,5684,2231,1739,1168,580
2021-05-22,New York,7574,3757,1608,918,769
2021-05-23,New York,7441,2240,2763,1530,1046
2021-05-24,New York,8070,3181,3199,1604,936
2021-05-25,New York,6908,3157,1572,1192,1001
2021-05-26,New York,5969,2526,1929,1084,1098
2021-05-27,New York,8400,4135,1858,1252,875
2021-05-28,New York,7765,3168,2199,1303,1145
2021-05-29,New York,6072,2495,2075,683,904
2021-05-30,New York,6997,2849,1776,760,1114
2021-05-31,New York,7030,3295,2321,1136,1172
2021-06-01,New York,6425,2246,1498,1889,861
2021-06-02,New York,5016,1709,1261,1176,679
2021-06-03,New York,7271,2895,2077,2178,1043
2021-06-04,New York,8898,3109,1944,1212,984
2021-06-05,New York,8469,3002,1701,1184,1531
2021-06-06,New York,7430,3546,2137,938,782
2021-06-07,New York,9442,3765,3168,2509,1059
2021-06-08,New York,8299,3649,1920,2255,1479
2021-06-09,New York,8245,4017,2147,1811,1041
2021-06-10,New York,6801,2406,2088,1897,1037
2021-06-11,New York,7052,2846,2683,1905,1023
2021-06-12,New York,7769,2742,1996,815,1038
2021-06-13,New York,9230,4604,1959,1468,1500
2021-06-14,New York,5980,2569,2293,1441,628
2021-06-15,New York,6976,2208,2181,1912,832
2021-06-16,New York,7656,2543,1866,1517,1296
2021-06-17,New York,8474,3426,2720,1370,865
2021-06-18,New York,5997,2234,1370,672,1138
2021-06-19,New York,7819,3007,1707,1913,935
2021-06-20,New York,6556,3260,2539,1492,1094
2021-06-21,New York,6376,2334,1715,1900,1226
2021-06-22,New York,7527,3388,2623,1397,893
2021-06-23,New York,5765,2714,1416,657,1066
2021-06-24,New York,7814,3020,2246,1944,1040
2021-06-25,New York,7145,2906,2555,1606,1338
2021-06-26,New York,5566,2689,2185,1282,739
2021-06-27,New York,7596,3675,2366,1430,998
2021-06-28,New York,8450,2701,2486,2085,944
2021-06-29,New York,7792,3749,2722,1481,1117
2021-06-30,New York,6951,3336,2753,863,1071
2021-07-01,New York,7744,3785,2033,875,808
2021-07-02,New York,7409,2741,1861,1450,1179
2021-07-03,New York,6591,2156,1584,1603,1123
2021-07-04,New York,8265,3141,2007,1946,1465
2021-07-05,New York,6510,2086,2454,1258,964
2021-07-06,New York,7613,3606,2401,1396,1018
2021-07-07,New York,9491,4476,3304,982,1546
2021-07-08,New York,5749,2685,2245,701,758
2021-07-09,New York,6569,2553,1705,1271,692
2021-07-10,New York,5833,2337,1841,589,731
2021-07-11,New York,7348,2583,2842,1114,1080
2021-07-12,New York,7862,2934,2237,2137,1234
2021-07-13,New York,5877,2491,2178,1705,1156
2021-07-14,New York,5367,1694,1455,1476,708
2021-07-15,New York,6817,2192,2159,1983,799
2021-07-16,New York,7109,2173,1594,1358,805
2021-07-17,New York,7038,2187,1622,1164,745
2021-07-18,New York,6632,2169,2242,1011,1199
2021-07-19,New York,6746,3080,2005,979,801
2021-07-20,New York,7537,3721,2040,1035,1076
2021-07-21,New York,7739,3673,3067,1495,1133
2021-07-22,New York,7890,2541,2357,1263,1164
2021-07-23,New York,6997,2997,2313,1574,1366
2021-07-24,New York,7375,2576,2857,1677,775
2021-07-25,New York,9024,3897,2837,1127,1344
2021-07-26,New York,5712,1720,2178,1249,631
2021-07-27,New York,7504,2661,2013,1144,1401
