date,city,aqi,pm25,ozone,no2,co
2020-03-08,New York,91,25.2,0.091,0.045,0.56
2020-03-09,New York,105,13.7,0.078,0.051,0.91
2020-03-10,New York,88,19.1,0.057,0.053,0.48
2020-03-11,New York,85,20.4,0.082,0.04,0.53
2020-03-12,New York,96,27.9,0.055,0.051,0.85
2020-03-13,New York,98,22.2,0.053,0.043,0.73
2020-03-14,New York,99,14.4,0.084,0.053,0.51
2020-03-15,New York,92,25.0,0.079,0.063,0.56
2020-03-16,New York,96,17.3,0.076,0.054,0.74
2020-03-17,New York,86,12.9,0.082,0.052,0.55
2020-03-18,New York,99,14.0,0.058,0.044,0.64
2020-03-19,New York,101,24.3,0.06,0.044,0.73
2020-03-20,New York,99,19.9,0.055,0.034,0.63
2020-03-21,New York,89,23.6,0.054,0.029,0.85
2020-03-22,New York,94,12.2,0.076,0.052,0.73
2020-03-23,New York,87,21.2,0.075,0.04,0.79
2020-03-24,New York,106,12.4,0.06,0.063,0.68
2020-03-25,New York,106,11.8,0.072,0.072,0.85
2020-03-26,New York,114,25.6,0.097,0.07,0.81
2020-03-27,New York,105,25.5,0.078,0.054,0.77
2020-03-28,New York,105,19.9,0.06,0.066,0.76
2020-03-29,New York,87,23.7,0.083,0.029,0.77
2020-03-30,New York,111,13.4,0.059,0.042,0.65
2020-03-31,New York,116,13.7,0.089,0.076,0.67
2020-04-01,New York,103,12.5,0.062,0.055,0.93
2020-04-02,New York,95,24.0,0.058,0.03,0.49
2020-04-03,New York,106,20.4,0.091,0.068,1.04
2020-04-04,New York,104,21.3,0.093,0.063,0.55
2020-04-05,New York,100,18.3,0.097,0.049,0.83
2020-04-06,New York,85,13.9,0.075,0.038,0.79
2020-04-07,New York,106,19.8,0.087,0.036,0.65
2020-04-08,New York,113,30.4,0.099,0.065,0.98
2020-04-09,New York,103,21.1,0.092,0.057,1.01
2020-04-10,New York,99,27.8,0.053,0.052,0.54
2020-04-11,New York,79,18.6,0.044,0.054,0.5
2020-04-12,New York,97,22.0,0.066,0.068,0.75
2020-04-13,New York,88,13.6,0.056,0.032,0.87
2020-04-14,New York,72,14.8,0.066,0.039,0.68
2020-04-15,New York,103,15.7,0.078,0.057,0.96
2020-04-16,New York,104,30.8,0.067,0.059,0.94
2020-04-17,New York,113,19.4,0.077,0.066,0.65
2020-04-18,New York,113,26.6,0.078,0.054,1.12
2020-04-19,New York,74,17.8,0.052,0.049,0.56
2020-04-20,New York,102,23.3,0.083,0.071,0.96
2020-04-21,New York,91,22.4,0.085,0.036,0.64
2020-04-22,New York,106,15.1,0.091,0.066,0.71
2020-04-23,New York,94,15.9,0.054,0.028,0.69
2020-04-24,New York,98,29.3,0.08,0.055,0.81
2020-04-25,New York,105,24.1,0.08,0.044,0.9
2020-04-26,New York,81,9.1,0.05,0.056,0.62
2020-04-27,New York,95,21.5,0.075,0.033,0.49
2020-04-28,New York,101,21.5,0.078,0.047,0.66
2020-04-29,New York,114,20.3,0.082,0.047,0.6
2020-04-30,New York,90,10.5,0.057,0.039,0.71
2020-05-01,New York,102,23.4,0.093,0.031,0.64
2020-05-02,New York,90,24.6,0.062,0.051,0.7
2020-05-03,New York,92,15.8,0.077,0.038,0.67
2020-05-04,New York,86,20.9,0.08,0.049,0.59
2020-05-05,New York,111,28.1,0.096,0.071,0.57
2020-05-06,New York,104,11.3,0.079,0.059,0.72
2020-05-07,New York,108,15.0,0.071,0.049,0.82
2020-05-08,New York,93,25.0,0.084,0.045,0.5
2020-05-09,New York,93,19.6,0.072,0.056,0.7
2020-05-10,New York,108,23.8,0.1,0.056,0.74
2020-05-11,New York,99,18.3,0.091,0.047,0.83
2020-05-12,New York,83,15.6,0.057,0.048,0.62
2020-05-13,New York,89,24.0,0.046,0.036,0.49
2020-05-14,New York,89,10.9,0.086,0.062,0.5
2020-05-15,New York,97,22.0,0.094,0.066,0.49
2020-05-16,New York,93,20.0,0.048,0.058,0.76
2020-05-17,New York,87,19.6,0.086,0.034,0.53
2020-05-18,New York,79,13.7,0.045,0.053,0.78
2020-05-19,New York,81,20.9,0.046,0.049,0.47
2020-05-20,New York,97,22.6,0.065,0.054,0.68
2020-05-21,New York,92,12.1,0.054,0.036,0.54
2020-05-22,New York,89,26.5,0.088,0.045,0.84
2020-05-23,New York,70,19.0,0.054,0.031,0.49
2020-05-24,New York,80,8.7,0.041,0.054,0.41
2020-05-25,New York,86,21.7,0.069,0.038,0.75
2020-05-26,New York,71,20.3,0.069,0.033,0.52
2020-05-27,New York,85,20.1,0.065,0.036,0.59
2020-05-28,New York,94,10.5,0.075,0.039,0.91
2020-05-29,New York,87,21.0,0.082,0.06,0.49
2020-05-30,New York,79,14.9,0.056,0.054,0.5
2020-05-31,New York,97,18.7,0.072,0.062,0.87
2020-06-01,New York,101,15.4,0.069,0.038,0.8
2020-06-02,New York,88,9.5,0.07,0.057,0.49
2020-06-03,New York,82,24.3,0.047,0.043,0.72
2020-06-04,New York,88,12.5,0.079,0.027,0.5
2020-06-05,New York,80,16.8,0.073,0.037,0.52
2020-06-06,New York,76,22.2,0.074,0.048,0.69
2020-06-07,New York,91,20.8,0.072,0.062,0.72
2020-06-08,New York,79,23.1,0.079,0.051,0.64
2020-06-09,New York,82,11.8,0.064,0.036,0.53
2020-06-10,New York,105,12.9,0.098,0.049,0.76
2020-06-11,New York,88,15.1,0.052,0.032,0.66
2020-06-12,New York,78,12.3,0.057,0.053,0.7
2020-06-13,New York,86,15.9,0.065,0.038,0.58
2020-06-14,New York,94,15.6,0.082,0.044,0.47
2020-06-15,New York,92,11.9,0.071,0.032,0.51
2020-06-16,New York,71,16.9,0.06,0.042,0.65
2020-06-17,New York,68,11.1,0.068,0.03,0.43
2020-06-18,New York,110,31.6,0.102,0.07,0.93
2020-06-19,New York,64,11.6,0.042,0.036,0.42
2020-06-20,New York,103,30.8,0.08,0.034,0.65
2020-06-21,New York,83,10.3,0.078,0.035,0.72
2020-06-22,New York,74,15.7,0.069,0.038,0.74
2020-06-23,New York,92,15.2,0.063,0.032,0.91
2020-06-24,New York,65,9.3,0.056,0.021,0.35
2020-06-25,New York,76,8.5,0.07,0.036,0.57
2020-06-26,New York,85,15.6,0.07,0.026,0.71
2020-06-27,New York,87,22.2,0.077,0.028,0.48
2020-06-28,New York,88,24.8,0.062,0.027,0.74
2020-06-29,New York,100,18.0,0.089,0.056,0.8
2020-06-30,New York,100,15.3,0.081,0.069,0.71
2020-07-01,New York,75,18.0,0.054,0.035,0.66
2020-07-02,New York,88,19.5,0.045,0.055,0.47
2020-07-03,New York,82,19.9,0.05,0.05,0.76
2020-07-04,New York,80,12.2,0.079,0.029,0.68
2020-07-05,New York,70,20.5,0.036,0.025,0.52
2020-07-06,New York,79,15.0,0.051,0.044,0.47
2020-07-07,New York,68,7.6,0.067,0.022,0.55
2020-07-08,New York,80,13.5,0.075,0.051,0.4
2020-07-09,New York,75,20.2,0.072,0.023,0.72
2020-07-10,New York,86,14.1,0.079,0.055,0.72
2020-07-11,New York,99,15.8,0.051,0.056,0.78
2020-07-12,New York,76,11.1,0.041,0.033,0.65
2020-07-13,New York,71,16.7,0.043,0.049,0.47
2020-07-14,New York,61,8.4,0.047,0.041,0.56
2020-07-15,New York,69,12.7,0.045,0.036,0.55
2020-07-16,New York,70,15.1,0.058,0.042,0.66
2020-07-17,New York,63,15.9,0.054,0.033,0.54
2020-07-18,New York,69,10.7,0.043,0.036,0.67
2020-07-19,New York,67,11.3,0.065,0.021,0.58
2020-07-20,New York,78,10.1,0.047,0.029,0.68
2020-07-21,New York,68,10.1,0.059,0.029,0.52
2020-07-22,New York,69,19.3,0.052,0.044,0.47
2020-07-23,New York,83,10.6,0.074,0.042,0.44
2020-07-24,New York,60,15.4,0.057,0.031,0.42
2020-07-25,New York,64,18.2,0.05,0.026,0.4
2020-07-26,New York,82,10.7,0.063,0.03,0.45
2020-07-27,New York,82,11.6,0.057,0.039,0.67
2020-07-28,New York,67,10.2,0.06,0.027,0.38
2020-07-29,New York,71,7.7,0.049,0.033,0.39
2020-07-30,New York,75,20.4,0.06,0.035,0.58
2020-07-31,New York,56,15.5,0.055,0.026,0.51
2020-08-01,New York,89,9.7,0.075,0.056,0.69
2020-08-02,New York,77,19.4,0.04,0.024,0.54
2020-08-03,New York,70,18.5,0.054,0.044,0.46
2020-08-04,New York,71,16.3,0.058,0.036,0.44
2020-08-05,New York,64,12.1,0.062,0.029,0.53
2020-08-06,New York,60,16.5,0.052,0.022,0.35
2020-08-07,New York,65,8.8,0.057,0.034,0.42
2020-08-08,New York,58,15.3,0.041,0.019,0.37
2020-08-09,New York,78,19.9,0.058,0.024,0.54
2020-08-10,New York,74,17.8,0.067,0.038,0.6
2020-08-11,New York,62,6.8,0.051,0.022,0.38
2020-08-12,New York,56,13.3,0.056,0.028,0.45
2020-08-13,New York,60,8.2,0.045,0.03,0.41
2020-08-14,New York,56,16.3,0.033,0.039,0.28
2020-08-15,New York,70,7.9,0.066,0.048,0.52
2020-08-16,New York,69,18.6,0.045,0.045,0.38
2020-08-17,New York,71,11.7,0.067,0.037,0.71
2020-08-18,New York,64,8.2,0.037,0.032,0.33
2020-08-19,New York,56,12.3,0.046,0.027,0.5
2020-08-20,New York,66,17.4,0.059,0.031,0.47
2020-08-21,New York,69,10.0,0.067,0.035,0.55
2020-08-22,New York,54,6.6,0.029,0.029,0.35
2020-08-23,New York,52,5.5,0.039,0.021,0.45
2020-08-24,New York,73,9.9,0.044,0.027,0.66
2020-08-25,New York,55,7.8,0.032,0.032,0.51
2020-08-26,New York,77,9.7,0.074,0.033,0.73
2020-08-27,New York,68,20.1,0.035,0.044,0.54
2020-08-28,New York,62,14.7,0.043,0.023,0.4
2020-08-29,New York,65,9.2,0.046,0.041,0.65
2020-08-30,New York,48,11.9,0.039,0.031,0.43
2020-08-31,New York,65,6.7,0.053,0.027,0.35
2020-09-01,New York,58,13.1,0.043,0.023,0.57
2020-09-02,New York,68,9.7,0.052,0.037,0.63
2020-09-03,New York,66,12.0,0.038,0.029,0.6
2020-09-04,New York,63,10.7,0.05,0.038,0.49
2020-09-05,New York,48,14.4,0.043,0.023,0.3
2020-09-06,New York,57,8.7,0.055,0.033,0.3
2020-09-07,New York,57,8.7,0.034,0.024,0.35
2020-09-08,New York,58,9.3,0.046,0.024,0.42
2020-09-09,New York,57,15.2,0.044,0.022,0.52
2020-09-10,New York,78,15.8,0.049,0.039,0.71
2020-09-11,New York,71,9.2,0.04,0.04,0.49
2020-09-12,New York,64,6.5,0.049,0.035,0.57
2020-09-13,New York,68,16.3,0.068,0.031,0.62
2020-09-14,New York,54,14.9,0.029,0.035,0.3
2020-09-15,New York,45,10.3,0.029,0.029,0.3
2020-09-16,New York,40,7.7,0.04,0.018,0.31
2020-09-17,New York,55,10.2,0.04,0.026,0.48
2020-09-18,New York,71,19.7,0.052,0.042,0.53
2020-09-19,New York,45,8.3,0.045,0.028,0.26
2020-09-20,New York,47,10.6,0.024,0.032,0.39
2020-09-21,New York,48,7.2,0.037,0.019,0.48
2020-09-22,New York,43,10.0,0.032,0.028,0.39
2020-09-23,New York,45,12.4,0.043,0.025,0.25
2020-09-24,New York,41,5.9,0.022,0.02,0.38
2020-09-25,New York,56,7.2,0.05,0.035,0.49
2020-09-26,New York,63,15.9,0.05,0.027,0.32
2020-09-27,New York,58,14.7,0.031,0.028,0.32
2020-09-28,New York,61,10.1,0.035,0.033,0.58
2020-09-29,New York,59,14.6,0.036,0.029,0.54
2020-09-30,New York,58,15.1,0.048,0.04,0.42
2020-10-01,New York,68,13.3,0.047,0.037,0.55
2020-10-02,New York,55,11.2,0.045,0.033,0.38
2020-10-03,New York,50,9.8,0.032,0.029,0.43
2020-10-04,New York,59,10.3,0.046,0.027,0.57
2020-10-05,New York,65,6.9,0.056,0.021,0.45
2020-10-06,New York,55,9.5,0.049,0.028,0.38
2020-10-07,New York,44,8.0,0.035,0.019,0.42
2020-10-08,New York,74,15.5,0.073,0.051,0.51
2020-10-09,New York,55,11.2,0.045,0.024,0.34
2020-10-10,New York,56,8.4,0.056,0.039,0.55
2020-10-11,New York,62,13.1,0.04,0.029,0.36
2020-10-12,New York,61,9.4,0.034,0.02,0.6
2020-10-13,New York,55,7.8,0.052,0.036,0.5
2020-10-14,New York,57,15.0,0.03,0.018,0.54
2020-10-15,New York,47,11.5,0.024,0.025,0.32
2020-10-16,New York,61,10.2,0.057,0.035,0.46
2020-10-17,New York,61,13.6,0.034,0.04,0.37
2020-10-18,New York,52,11.1,0.043,0.016,0.31
2020-10-19,New York,62,14.7,0.054,0.032,0.51
2020-10-20,New York,56,5.7,0.052,0.017,0.32
2020-10-21,New York,63,6.4,0.046,0.02,0.44
2020-10-22,New York,63,14.5,0.05,0.039,0.57
2020-10-23,New York,63,12.5,0.034,0.02,0.43
2020-10-24,New York,66,7.1,0.047,0.032,0.43
2020-10-25,New York,63,18.2,0.057,0.026,0.62
2020-10-26,New York,53,14.5,0.043,0.033,0.4
2020-10-27,New York,60,11.5,0.046,0.03,0.57
2020-10-28,New York,69,15.2,0.054,0.033,0.38
2020-10-29,New York,59,15.0,0.042,0.04,0.55
2020-10-30,New York,55,10.6,0.046,0.025,0.42
2020-10-31,New York,77,14.0,0.075,0.04,0.58
2020-11-01,New York,79,9.9,0.065,0.027,0.51
2020-11-02,New York,54,8.8,0.048,0.035,0.28
2020-11-03,New York,68,18.3,0.051,0.034,0.4
2020-11-04,New York,57,13.0,0.033,0.028,0.56
2020-11-05,New York,80,20.4,0.057,0.045,0.68
2020-11-06,New York,60,17.5,0.041,0.039,0.42
2020-11-07,New York,61,10.1,0.036,0.039,0.6
2020-11-08,New York,61,8.5,0.034,0.037,0.35
2020-11-09,New York,59,17.2,0.053,0.02,0.33
2020-11-10,New York,51,6.3,0.046,0.027,0.37
2020-11-11,New York,64,12.7,0.035,0.022,0.63
2020-11-12,New York,76,21.4,0.049,0.045,0.4
2020-11-13,New York,49,5.5,0.045,0.025,0.34
2020-11-14,New York,66,10.8,0.064,0.039,0.36
2020-11-15,New York,64,13.5,0.062,0.02,0.53
2020-11-16,New York,68,10.7,0.039,0.036,0.64
2020-11-17,New York,62,8.7,0.035,0.021,0.49
2020-11-18,New York,60,7.8,0.06,0.024,0.52
2020-11-19,New York,54,7.6,0.029,0.029,0.43
2020-11-20,New York,73,16.3,0.05,0.031,0.59
2020-11-21,New York,71,8.5,0.067,0.028,0.47
2020-11-22,New York,92,16.1,0.051,0.042,0.61
2020-11-23,New York,76,11.8,0.047,0.026,0.71
2020-11-24,New York,84,15.6,0.08,0.04,0.71
2020-11-25,New York,70,14.7,0.039,0.031,0.4
2020-11-26,New York,73,20.5,0.059,0.041,0.7
2020-11-27,New York,74,22.0,0.056,0.034,0.52
2020-11-28,New York,72,12.4,0.067,0.033,0.39
2020-11-29,New York,61,12.5,0.047,0.022,0.37
2020-11-30,New York,63,11.4,0.037,0.025,0.5
2020-12-01,New York,70,20.9,0.042,0.048,0.6
2020-12-02,New York,58,8.5,0.039,0.037,0.56
2020-12-03,New York,68,11.7,0.045,0.028,0.44
2020-12-04,New York,51,8.2,0.046,0.016,0.47
2020-12-05,New York,92,25.9,0.067,0.061,0.86
2020-12-06,New York,56,8.6,0.039,0.038,0.32
2020-12-07,New York,69,19.1,0.06,0.037,0.46
2020-12-08,New York,65,12.1,0.06,0.041,0.35
2020-12-09,New York,64,8.1,0.042,0.02,0.43
2020-12-10,New York,66,9.2,0.034,0.044,0.37
2020-12-11,New York,81,15.8,0.076,0.026,0.74
2020-12-12,New York,68,13.3,0.039,0.03,0.47
2020-12-13,New York,58,13.5,0.055,0.022,0.52
2020-12-14,New York,72,20.4,0.044,0.035,0.41
2020-12-15,New York,61,6.4,0.05,0.023,0.43
2020-12-16,New York,59,10.9,0.058,0.022,0.39
2020-12-17,New York,66,17.8,0.061,0.028,0.55
2020-12-18,New York,71,15.2,0.065,0.048,0.56
2020-12-19,New York,71,16.6,0.045,0.04,0.39
2020-12-20,New York,75,17.9,0.07,0.027,0.59
2020-12-21,New York,73,8.9,0.069,0.029,0.51
2020-12-22,New York,73,10.8,0.056,0.041,0.65
2020-12-23,New York,97,23.9,0.07,0.062,0.78
2020-12-24,New York,67,17.7,0.067,0.029,0.67
2020-12-25,New York,89,11.6,0.068,0.028,0.56
2020-12-26,New York,77,22.7,0.052,0.031,0.4
2020-12-27,New York,82,16.5,0.042,0.042,0.75
2020-12-28,New York,84,21.5,0.069,0.046,0.54
2020-12-29,New York,68,19.1,0.066,0.028,0.64
2020-12-30,New York,48,10.7,0.036,0.015,0.43
2020-12-31,New York,71,14.0,0.046,0.041,0.56
2021-01-01,New York,90,22.0,0.08,0.043,0.61
2021-01-02,New York,89,21.4,0.081,0.061,0.56
2021-01-03,New York,79,20.6,0.058,0.03,0.7
2021-01-04,New York,79,19.1,0.07,0.048,0.45
2021-01-05,New York,99,16.2,0.095,0.068,0.82
2021-01-06,New York,67,15.2,0.065,0.04,0.55
2021-01-07,New York,78,18.5,0.071,0.052,0.47
2021-01-08,New York,74,11.0,0.038,0.028,0.72
2021-01-09,New York,80,15.0,0.054,0.045,0.47
2021-01-10,New York,83,14.8,0.046,0.028,0.53
2021-01-11,New York,91,23.8,0.075,0.053,0.51
2021-01-12,New York,82,23.2,0.076,0.045,0.62
2021-01-13,New York,59,6.2,0.037,0.026,0.59
2021-01-14,New York,89,13.8,0.081,0.029,0.82
2021-01-15,New York,92,26.2,0.066,0.053,0.64
2021-01-16,New York,84,20.1,0.084,0.035,0.51
2021-01-17,New York,91,10.7,0.066,0.058,0.55
2021-01-18,New York,93,20.1,0.088,0.031,0.91
2021-01-19,New York,96,28.6,0.055,0.034,0.87
2021-01-20,New York,94,18.8,0.057,0.042,0.78
2021-01-21,New York,75,21.9,0.061,0.046,0.61
2021-01-22,New York,83,20.7,0.049,0.038,0.71
2021-01-23,New York,95,22.4,0.061,0.033,0.63
2021-01-24,New York,76,22.5,0.073,0.043,0.62
2021-01-25,New York,83,20.1,0.07,0.042,0.47
2021-01-26,New York,98,24.9,0.064,0.064,0.71
2021-01-27,New York,84,12.4,0.082,0.046,0.48
2021-01-28,New York,59,17.3,0.054,0.03,0.41
2021-01-29,New York,91,19.8,0.078,0.03,0.5
2021-01-30,New York,105,29.0,0.055,0.05,0.6
2021-01-31,New York,93,21.7,0.056,0.043,0.56
2021-02-01,New York,80,20.4,0.058,0.034,0.64
2021-02-02,New York,99,26.3,0.05,0.03,0.56
2021-02-03,New York,89,9.0,0.061,0.031,0.68
2021-02-04,New York,73,8.2,0.045,0.037,0.69
2021-02-05,New York,106,16.4,0.102,0.061,1.01
2021-02-06,New York,89,19.5,0.051,0.044,0.84
2021-02-07,New York,98,12.0,0.096,0.057,0.71
2021-02-08,New York,94,21.7,0.087,0.063,0.51
2021-02-09,New York,84,20.9,0.056,0.037,0.57
2021-02-10,New York,81,23.8,0.062,0.038,0.78
2021-02-11,New York,90,14.5,0.078,0.058,0.54
2021-02-12,New York,102,27.5,0.082,0.059,0.85
2021-02-13,New York,85,12.9,0.084,0.029,0.48
2021-02-14,New York,91,12.5,0.046,0.048,0.52
2021-02-15,New York,78,16.3,0.074,0.051,0.65
2021-02-16,New York,79,17.0,0.056,0.048,0.49
2021-02-17,New York,82,11.4,0.069,0.028,0.46
2021-02-18,New York,95,13.3,0.059,0.052,0.54
2021-02-19,New York,81,12.1,0.062,0.032,0.61
2021-02-20,New York,98,15.8,0.062,0.064,0.84
2021-02-21,New York,114,12.1,0.089,0.055,0.93
2021-02-22,New York,89,19.6,0.057,0.032,0.81
2021-02-23,New York,93,25.4,0.053,0.042,0.6
2021-02-24,New York,132,35.2,0.092,0.083,0.77
2021-02-25,New York,108,20.8,0.092,0.039,0.82
2021-02-26,New York,91,19.4,0.048,0.034,0.6
2021-02-27,New York,113,29.1,0.096,0.076,0.66
2021-02-28,New York,103,22.0,0.076,0.072,0.87
2021-03-01,New York,99,21.6,0.084,0.044,0.56
2021-03-02,New York,97,27.2,0.082,0.038,0.87
2021-03-03,New York,109,25.2,0.079,0.041,0.66
2021-03-04,New York,80,23.5,0.058,0.035,0.77
2021-03-05,New York,87,15.1,0.067,0.053,0.54
2021-03-06,New York,90,19.3,0.051,0.048,0.79
2021-03-07,New York,109,22.1,0.055,0.076,0.57
2021-03-08,New York,98,17.6,0.074,0.047,0.74
2021-03-09,New York,90,24.5,0.087,0.049,0.72
2021-03-10,New York,102,23.3,0.068,0.033,0.68
2021-03-11,New York,109,28.7,0.094,0.073,0.75
2021-03-12,New York,115,21.7,0.079,0.061,0.63
2021-03-13,New York,101,21.5,0.084,0.044,0.76
2021-03-14,New York,80,17.7,0.065,0.038,0.55
2021-03-15,New York,118,19.0,0.095,0.047,1.04
2021-03-16,New York,97,12.9,0.078,0.059,0.93
2021-03-17,New York,94,11.0,0.059,0.063,0.58
2021-03-18,New York,95,17.6,0.084,0.065,0.88
2021-03-19,New York,98,12.9,0.098,0.057,0.66
2021-03-20,New York,110,21.6,0.067,0.075,0.85
2021-03-21,New York,104,25.0,0.059,0.047,0.83
2021-03-22,New York,90,25.2,0.07,0.049,0.56
2021-03-23,New York,99,20.5,0.051,0.057,0.92
2021-03-24,New York,83,12.7,0.074,0.049,0.48
2021-03-25,New York,107,29.7,0.078,0.067,0.99
2021-03-26,New York,101,17.1,0.082,0.054,0.72
2021-03-27,New York,78,15.2,0.055,0.026,0.67
2021-03-28,New York,97,28.0,0.065,0.045,0.7
2021-03-29,New York,89,19.4,0.078,0.058,0.62
2021-03-30,New York,109,24.5,0.078,0.038,0.81
2021-03-31,New York,111,29.5,0.102,0.065,0.8
2021-04-01,New York,83,9.7,0.078,0.053,0.44
2021-04-02,New York,89,19.9,0.078,0.029,0.8
2021-04-03,New York,93,17.6,0.088,0.045,0.85
2021-04-04,New York,80,21.7,0.055,0.034,0.72
2021-04-05,New York,99,29.6,0.096,0.035,0.88
2021-04-06,New York,100,22.8,0.099,0.047,0.73
2021-04-07,New York,98,18.8,0.095,0.058,0.53
2021-04-08,New York,96,11.6,0.06,0.034,0.63
2021-04-09,New York,105,18.9,0.087,0.041,0.79
2021-04-10,New York,107,31.0,0.079,0.054,0.55
2021-04-11,New York,96,25.0,0.074,0.031,0.61
2021-04-12,New York,95,16.4,0.074,0.051,0.73
2021-04-13,New York,111,26.2,0.066,0.057,0.95
2021-04-14,New York,111,15.9,0.067,0.065,0.76
2021-04-15,New York,109,15.8,0.059,0.056,0.88
2021-04-16,New York,78,14.0,0.039,0.031,0.68
2021-04-17,New York,106,25.8,0.055,0.035,0.87
2021-04-18,New York,80,20.7,0.063,0.029,0.57
2021-04-19,New York,100,21.9,0.061,0.049,0.88
2021-04-20,New York,95,24.5,0.057,0.038,0.86
2021-04-21,New York,103,14.2,0.085,0.069,0.61
2021-04-22,New York,98,15.7,0.072,0.05,0.82
2021-04-23,New York,103,25.0,0.056,0.046,0.6
2021-04-24,New York,106,25.1,0.084,0.039,0.87
2021-04-25,New York,108,28.4,0.098,0.069,0.61
2021-04-26,New York,103,13.9,0.09,0.067,0.72
2021-04-27,New York,105,26.3,0.095,0.062,0.53
2021-04-28,New York,96,11.7,0.074,0.035,0.59
2021-04-29,New York,93,24.5,0.062,0.037,0.74
2021-04-30,New York,87,12.5,0.062,0.058,0.79
2021-05-01,New York,110,16.8,0.108,0.066,1.0
2021-05-02,New York,97,26.8,0.054,0.045,0.61
2021-05-03,New York,106,31.2,0.087,0.072,0.94
2021-05-04,New York,101,12.7,0.081,0.059,0.51
2021-05-05,New York,105,13.7,0.103,0.045,0.94
2021-05-06,New York,86,25.8,0.071,0.055,0.71
2021-05-07,New York,89,20.9,0.049,0.042,0.48
2021-05-08,New York,113,14.7,0.088,0.079,0.77
2021-05-09,New York,92,10.3,0.049,0.054,0.55
2021-05-10,New York,72,17.4,0.064,0.05,0.39
2021-05-11,New York,80,8.5,0.07,0.025,0.61
2021-05-12,New York,92,15.0,0.072,0.032,0.6
