date,city,heat_related_illnesses,respiratory_issues,mental_health_reports
2020-04-06,New York,31,54,41
2020-04-07,New York,49,118,33
2020-04-08,New York,56,108,75
2020-04-09,New York,72,150,84
2020-04-10,New York,44,86,47
2020-04-11,New York,60,138,44
2020-04-12,New York,42,70,48
2020-04-13,New York,54,91,72
2020-04-14,New York,57,116,37
2020-04-15,New York,50,80,66
2020-04-16,New York,46,70,58
2020-04-17,New York,54,131,59
2020-04-18,New York,40,60,52
2020-04-19,New York,47,76,40
2020-04-20,New York,59,119,81
2020-04-21,New York,49,97,26
2020-04-22,New York,37,86,38
2020-04-23,New York,47,93,64
2020-04-24,New York,78,169,93
2020-04-25,New York,38,64,19
2020-04-26,New York,45,76,49
2020-04-27,New York,55,130,30
2020-04-28,New York,29,50,42
2020-04-29,New York,65,142,85
2020-04-30,New York,38,79,20
2020-05-01,New York,38,71,38
2020-05-02,New York,24,53,18
2020-05-03,New York,44,85,53
2020-05-04,New York,44,86,54
2020-05-05,New York,46,70,55
2020-05-06,New York,44,91,36
2020-05-07,New York,45,91,55
2020-05-08,New York,37,63,33
2020-05-09,New York,51,107,44
2020-05-10,New York,50,89,57
2020-05-11,New York,30,62,19
2020-05-12,New York,49,87,32
2020-05-13,New York,43,106,32
2020-05-14,New York,52,111,38
2020-05-15,New York,43,65,57
2020-05-16,New York,31,73,25
2020-05-17,New York,52,118,67
2020-05-18,New York,39,88,23
2020-05-19,New York,19,39,25
2020-05-20,New York,41,89,50
2020-05-21,New York,59,116,83
2020-05-22,New York,34,69,50
2020-05-23,New York,35,77,25
2020-05-24,New York,32,62,47
2020-05-25,New York,40,72,45
2020-05-26,New York,59,105,56
2020-05-27,New York,26,41,35
2020-05-28,New York,51,78,39
2020-05-29,New York,66,160,35
2020-05-30,New York,53,127,44
2020-05-31,New York,25,58,22
2020-06-01,New York,33,65,23
2020-06-02,New York,23,49,13
2020-06-03,New York,43,107,23
2020-06-04,New York,47,114,61
2020-06-05,New York,41,88,60
2020-06-06,New York,53,93,40
2020-06-07,New York,57,110,70
2020-06-08,New York,21,33,20
2020-06-09,New York,37,83,53
2020-06-10,New York,29,57,20
2020-06-11,New York,27,49,27
2020-06-12,New York,20,35,27
2020-06-13,New York,41,81,55
2020-06-14,New York,30,57,40
2020-06-15,New York,34,83,47
2020-06-16,New York,42,98,24
2020-06-17,New York,33,77,17
2020-06-18,New York,30,63,33
2020-06-19,New York,31,62,29
2020-06-20,New York,23,50,29
2020-06-21,New York,27,52,16
2020-06-22,New York,55,94,63
2020-06-23,New York,43,102,29
2020-06-24,New York,27,46,27
2020-06-25,New York,35,60,29
2020-06-26,New York,31,66,23
2020-06-27,New York,9,21,4
2020-06-28,New York,31,53,26
2020-06-29,New York,35,75,29
2020-06-30,New York,14,30,14
2020-07-01,New York,24,44,13
2020-07-02,New York,46,90,46
2020-07-03,New York,10,20,5
2020-07-04,New York,22,38,19
2020-07-05,New York,33,63,25
2020-07-06,New York,12,27,15
2020-07-07,New York,32,60,29
2020-07-08,New York,44,90,65
2020-07-09,New York,22,52,25
2020-07-10,New York,33,56,19
2020-07-11,New York,37,86,28
2020-07-12,New York,36,66,25
2020-07-13,New York,10,15,6
2020-07-14,New York,32,76,40
2020-07-15,New York,36,84,27
2020-07-16,New York,25,45,30
2020-07-17,New York,27,50,40
2020-07-18,New York,27,59,38
2020-07-19,New York,30,47,31
2020-07-20,New York,6,10,8
2020-07-21,New York,11,27,14
2020-07-22,New York,8,19,5
2020-07-23,New York,11,20,8
2020-07-24,New York,26,64,19
2020-07-25,New York,18,28,23
2020-07-26,New York,31,72,30
2020-07-27,New York,28,45,16
2020-07-28,New York,28,63,38
2020-07-29,New York,16,25,15
2020-07-30,New York,18,39,9
2020-07-31,New York,15,30,18
2020-08-01,New York,19,41,16
2020-08-02,New York,20,37,19
2020-08-03,New York,44,92,39
2020-08-04,New York,14,34,16
2020-08-05,New York,35,77,19
2020-08-06,New York,10,21,5
2020-08-07,New York,33,60,31
2020-08-08,New York,5,12,3
2020-08-09,New York,15,23,18
2020-08-10,New York,0,0,0
2020-08-11,New York,22,42,19
2020-08-12,New York,17,27,14
2020-08-13,New York,13,32,18
2020-08-14,New York,35,81,20
2020-08-15,New York,26,47,23
2020-08-16,New York,17,27,17
2020-08-17,New York,19,37,16
2020-08-18,New York,25,57,27
2020-08-19,New York,0,0,0
2020-08-20,New York,30,61,27
2020-08-21,New York,21,42,29
2020-08-22,New York,7,17,6
2020-08-23,New York,5,10,4
2020-08-24,New York,15,27,19
2020-08-25,New York,10,19,11
2020-08-26,New York,8,15,8
2020-08-27,New York,30,59,29
2020-08-28,New York,23,40,19
2020-08-29,New York,17,26,17
2020-08-30,New York,14,25,20
2020-08-31,New York,25,42,19
2020-09-01,New York,7,17,4
2020-09-02,New York,15,36,14
2020-09-03,New York,0,0,0
2020-09-04,New York,24,59,12
2020-09-05,New York,16,36,19
2020-09-06,New York,13,23,11
2020-09-07,New York,10,23,8
2020-09-08,New York,26,60,15
2020-09-09,New York,19,43,12
2020-09-10,New York,17,38,24
2020-09-11,New York,21,50,15
2020-09-12,New York,4,6,5
2020-09-13,New York,0,0,0
2020-09-14,New York,11,21,13
2020-09-15,New York,17,36,19
2020-09-16,New York,22,45,13
2020-09-17,New York,14,22,17
2020-09-18,New York,11,27,6
2020-09-19,New York,7,17,8
2020-09-20,New York,0,0,0
2020-09-21,New York,11,18,6
2020-09-22,New York,12,29,17
2020-09-23,New York,14,25,16
2020-09-24,New York,16,33,14
2020-09-25,New York,1,1,1
2020-09-26,New York,5,11,4
2020-09-27,New York,14,22,13
2020-09-28,New York,17,31,9
2020-09-29,New York,5,8,5
2020-09-30,New York,9,16,7
2020-10-01,New York,0,0,0
2020-10-02,New York,3,7,3
2020-10-03,New York,0,0,0
2020-10-04,New York,3,6,4
2020-10-05,New York,4,9,4
2020-10-06,New York,4,8,3
2020-10-07,New York,0,0,0
2020-10-08,New York,16,29,22
2020-10-09,New York,10,23,13
2020-10-10,New York,0,0,0
2020-10-11,New York,13,22,14
2020-10-12,New York,6,9,8
2020-10-13,New York,7,11,5
2020-10-14,New York,12,19,8
2020-10-15,New York,0,0,0
2020-10-16,New York,7,14,8
2020-10-17,New York,12,25,9
2020-10-18,New York,9,21,8
2020-10-19,New York,0,0,0
2020-10-20,New York,0,0,0
2020-10-21,New York,14,27,17
2020-10-22,New York,0,0,0
2020-10-23,New York,24,57,12
2020-10-24,New York,0,0,0
2020-10-25,New York,10,23,7
2020-10-26,New York,0,0,0
2020-10-27,New York,22,41,16
2020-10-28,New York,10,20,9
2020-10-29,New York,23,43,23
2020-10-30,New York,0,0,0
2020-10-31,New York,20,45,24
2020-11-01,New York,22,45,12
2020-11-02,New York,12,29,8
2020-11-03,New York,11,24,13
2020-11-04,New York,21,32,24
2020-11-05,New York,24,42,22
2020-11-06,New York,16,30,10
2020-11-07,New York,16,37,18
2020-11-08,New York,32,56,26
2020-11-09,New York,1,2,1
2020-11-10,New York,19,35,22
2020-11-11,New York,7,11,3
2020-11-12,New York,12,27,6
2020-11-13,New York,2,3,2
2020-11-14,New York,24,47,18
2020-11-15,New York,32,55,47
2020-11-16,New York,23,48,26
2020-11-17,New York,6,12,8
2020-11-18,New York,27,52,32
2020-11-19,New York,16,28,16
2020-11-20,New York,11,24,5
2020-11-21,New York,23,48,18
2020-11-22,New York,18,41,13
2020-11-23,New York,14,33,16
2020-11-24,New York,32,61,18
2020-11-25,New York,13,24,14
2020-11-26,New York,9,14,10
2020-11-27,New York,20,49,17
2020-11-28,New York,27,44,29
2020-11-29,New York,27,47,36
2020-11-30,New York,25,42,17
2020-12-01,New York,23,38,15
2020-12-02,New York,23,53,25
2020-12-03,New York,26,58,34
2020-12-04,New York,43,85,60
2020-12-05,New York,2,3,2
2020-12-06,New York,32,77,42
2020-12-07,New York,22,47,22
2020-12-08,New York,19,42,13
2020-12-09,New York,20,42,24
2020-12-10,New York,17,41,11
2020-12-11,New York,37,90,51
2020-12-12,New York,25,51,17
2020-12-13,New York,22,48,17
2020-12-14,New York,25,41,31
2020-12-15,New York,26,51,24
2020-12-16,New York,17,36,10
2020-12-17,New York,25,50,17
2020-12-18,New York,52,87,43
2020-12-19,New York,37,84,36
2020-12-20,New York,34,81,24
2020-12-21,New York,25,50,15
2020-12-22,New York,46,107,50
2020-12-23,New York,27,52,13
2020-12-24,New York,30,74,30
2020-12-25,New York,34,54,32
2020-12-26,New York,20,41,14
2020-12-27,New York,41,97,53
2020-12-28,New York,52,108,48
2020-12-29,New York,33,66,16
2020-12-30,New York,32,49,45
2020-12-31,New York,47,84,63
2021-01-01,New York,31,61,38
2021-01-02,New York,29,55,19
2021-01-03,New York,39,74,51
2021-01-04,New York,42,69,30
2021-01-05,New York,52,91,35
2021-01-06,New York,47,75,65
2021-01-07,New York,42,104,23
2021-01-08,New York,37,62,40
2021-01-09,New York,39,63,50
2021-01-10,New York,25,41,23
2021-01-11,New York,27,66,36
2021-01-12,New York,33,65,29
2021-01-13,New York,25,40,16
2021-01-14,New York,32,73,41
2021-01-15,New York,21,49,29
2021-01-16,New York,41,73,49
2021-01-17,New York,54,105,53
2021-01-18,New York,23,41,13
2021-01-19,New York,37,72,45
2021-01-20,New York,24,40,12
2021-01-21,New York,42,104,25
2021-01-22,New York,24,59,35
2021-01-23,New York,26,60,35
2021-01-24,New York,31,59,19
2021-01-25,New York,37,90,23
2021-01-26,New York,29,68,22
2021-01-27,New York,39,94,51
2021-01-28,New York,52,80,50
2021-01-29,New York,47,81,42
2021-01-30,New York,51,97,56
2021-01-31,New York,26,43,29
2021-02-01,New York,32,71,30
2021-02-02,New York,36,77,26
2021-02-03,New York,29,63,20
2021-02-04,New York,48,99,42
2021-02-05,New York,36,55,30
2021-02-06,New York,59,109,76
2021-02-07,New York,36,75,22
2021-02-08,New York,40,97,57
2021-02-09,New York,26,46,34
2021-02-10,New York,61,113,59
2021-02-11,New York,43,87,62
2021-02-12,New York,44,85,64
2021-02-13,New York,45,81,24
2021-02-14,New York,42,83,34
2021-02-15,New York,48,111,58
2021-02-16,New York,53,81,76
2021-02-17,New York,33,69,40
2021-02-18,New York,52,128,77
2021-02-19,New York,31,63,29
2021-02-20,New York,59,130,64
2021-02-21,New York,49,76,31
2021-02-22,New York,51,86,46
2021-02-23,New York,40,85,48
2021-02-24,New York,44,90,35
2021-02-25,New York,42,72,39
2021-02-26,New York,40,91,32
2021-02-27,New York,55,84,55
2021-02-28,New York,57,130,40
2021-03-01,New York,54,109,74
2021-03-02,New York,61,128,81
2021-03-03,New York,44,81,27
2021-03-04,New York,57,109,44
2021-03-05,New York,36,88,19
2021-03-06,New York,62,127,57
2021-03-07,New York,58,130,49
2021-03-08,New York,46,75,40
2021-03-09,New York,51,78,37
2021-03-10,New York,35,86,27
2021-03-11,New York,42,73,39
2021-03-12,New York,34,53,17
2021-03-13,New York,40,99,46
2021-03-14,New York,51,103,58
2021-03-15,New York,41,102,49
2021-03-16,New York,37,86,18
2021-03-17,New York,47,88,35
2021-03-18,New York,53,124,28
2021-03-19,New York,28,66,24
2021-03-20,New York,63,109,54
2021-03-21,New York,52,101,27
2021-03-22,New York,68,169,41
2021-03-23,New York,68,110,66
2021-03-24,New York,48,73,60
2021-03-25,New York,46,81,37
2021-03-26,New York,54,97,29
2021-03-27,New York,53,118,56
2021-03-28,New York,52,113,36
2021-03-29,New York,61,143,51
2021-03-30,New York,55,112,70
2021-03-31,New York,55,110,62
2021-04-01,New York,47,72,45
2021-04-02,New York,49,109,40
2021-04-03,New York,45,89,29
2021-04-04,New York,65,108,86
2021-04-05,New York,41,100,33
2021-04-06,New York,75,177,93
2021-04-07,New York,49,86,56
2021-04-08,New York,50,110,42
2021-04-09,New York,45,81,61
2021-04-10,New York,35,53,48
2021-04-11,New York,53,123,74
2021-04-12,New York,78,191,44
2021-04-13,New York,57,106,31
2021-04-14,New York,38,77,28
2021-04-15,New York,34,63,33
2021-04-16,New York,45,91,52
2021-04-17,New York,42,89,22
2021-04-18,New York,38,77,35
2021-04-19,New York,55,85,64
2021-04-20,New York,64,134,36
2021-04-21,New York,52,88,29
2021-04-22,New York,56,136,80
2021-04-23,New York,57,92,57
2021-04-24,New York,59,121,78
2021-04-25,New York,48,89,49
2021-04-26,New York,31,60,34
2021-04-27,New York,36,80,35
2021-04-28,New York,50,110,32
2021-04-29,New York,48,77,26
2021-04-30,New York,69,138,87
2021-05-01,New York,50,116,36
2021-05-02,New York,57,103,67
2021-05-03,New York,32,68,38
2021-05-04,New York,62,109,58
2021-05-05,New York,59,121,51
2021-05-06,New York,55,127,77
2021-05-07,New York,29,69,22
2021-05-08,New York,46,112,45
2021-05-09,New York,51,77,45
2021-05-10,New York,48,112,58
2021-05-11,New York,51,77,76
2021-05-12,New York,32,67,17
2021-05-13,New York,45,85,27
2021-05-14,New York,38,78,38
2021-05-15,New York,49,81,53
2021-05-16,New York,32,53,34
2021-05-17,New York,42,101,21
2021-05-18,New York,54,87,67
2021-05-19,New York,54,92,52
2021-05-20,New York,45,76,50
2021-05-21,New York,41,96,58
2021-05-22,New York,47,87,64
2021-05-23,New York,50,96,31
2021-05-24,New York,35,71,27
2021-05-25,New York,47,76,46
2021-05-26,New York,58,133,68
2021-05-27,New York,42,96,44
2021-05-28,New York,40,74,52
2021-05-29,New York,38,87,54
2021-05-30,New York,51,126,41
2021-05-31,New York,44,93,46
2021-06-01,New York,29,58,37
2021-06-02,New York,46,74,63
2021-06-03,New York,50,106,27
2021-06-04,New York,36,59,44
2021-06-05,New York,50,82,36
2021-06-06,New York,50,95,57
2021-06-07,New York,39,58,37
2021-06-08,New York,31,56,31
2021-06-09,New York,54,116,40
2021-06-10,New York,43,64,40
2021-06-11,New York,50,110,47
2021-06-12,New York,53,126,75
2021-06-13,New York,57,100,63
2021-06-14,New York,13,28,18
2021-06-15,New York,39,75,55
2021-06-16,New York,31,70,36
2021-06-17,New York,48,95,60
2021-06-18,New York,36,75,50
2021-06-19,New York,26,63,16
2021-06-20,New York,9,16,7
2021-06-21,New York,33,71,38
2021-06-22,New York,29,67,41
2021-06-23,New York,40,67,55
2021-06-24,New York,32,76,42
2021-06-25,New York,16,27,20
2021-06-26,New York,34,75,24
2021-06-27,New York,29,72,34
2021-06-28,New York,27,53,21
2021-06-29,New York,31,74,29
2021-06-30,New York,40,67,29
2021-07-01,New York,38,71,39
2021-07-02,New York,15,28,8
2021-07-03,New York,28,67,28
2021-07-04,New York,33,67,24
2021-07-05,New York,31,51,30
2021-07-06,New York,25,43,25
2021-07-07,New York,38,76,22
2021-07-08,New York,42,63,40
2021-07-09,New York,30,57,23
2021-07-10,New York,27,44,20
2021-07-11,New York,25,57,20
2021-07-12,New York,17,40,13
2021-07-13,New York,25,62,23
2021-07-14,New York,10,20,5
2021-07-15,New York,44,100,43
2021-07-16,New York,23,57,23
2021-07-17,New York,45,73,53
2021-07-18,New York,22,44,25
2021-07-19,New York,30,51,23
2021-07-20,New York,23,38,33
2021-07-21,New York,28,51,40
2021-07-22,New York,34,57,34
2021-07-23,New York,22,36,24
2021-07-24,New York,9,21,8
2021-07-25,New York,20,38,16
2021-07-26,New York,19,39,11
2021-07-27,New York,29,46,34
2021-07-28,New York,10,19,13
2021-07-29,New York,38,58,35
2021-07-30,New York,25,46,15
2021-07-31,New York,7,11,8
2021-08-01,New York,36,84,27
2021-08-02,New York,27,43,37
2021-08-03,New York,18,35,18
2021-08-04,New York,15,29,14
2021-08-05,New York,20,43,25
2021-08-06,New York,23,46,32
2021-08-07,New York,11,17,14
2021-08-08,New York,25,61,33
2021-08-09,New York,7,11,7
2021-08-10,New York,25,43,24
2021-08-11,New York,14,29,15
2021-08-12,New York,25,61,28
2021-08-13,New York,13,22,8
2021-08-14,New York,24,50,21
2021-08-15,New York,9,19,7
2021-08-16,New York,9,13,11
2021-08-17,New York,18,34,14
2021-08-18,New York,21,42,29
2021-08-19,New York,17,27,18
2021-08-20,New York,8,19,8
2021-08-21,New York,12,21,14
2021-08-22,New York,11,17,11
2021-08-23,New York,31,68,24
2021-08-24,New York,14,24,19
2021-08-25,New York,28,47,26
2021-08-26,New York,0,0,0
2021-08-27,New York,7,11,9
2021-08-28,New York,18,41,21
2021-08-29,New York,43,95,54
2021-08-30,New York,11,24,9
2021-08-31,New York,28,66,24
2021-09-01,New York,24,43,12
2021-09-02,New York,26,61,27
2021-09-03,New York,5,9,3
2021-09-04,New York,10,20,9
2021-09-05,New York,14,29,18
2021-09-06,New York,0,0,0
2021-09-07,New York,13,28,6
2021-09-08,New York,9,16,11
2021-09-09,New York,14,30,10
2021-09-10,New York,26,64,25
2021-09-11,New York,0,0,0
2021-09-12,New York,5,7,5
2021-09-13,New York,0,0,0
2021-09-14,New York,12,23,8
2021-09-15,New York,22,52,30
2021-09-16,New York,17,28,17
2021-09-17,New York,22,37,32
2021-09-18,New York,2,4,1
2021-09-19,New York,5,8,7
2021-09-20,New York,26,44,26
2021-09-21,New York,29,68,23
2021-09-22,New York,12,25,16
2021-09-23,New York,14,24,19
2021-09-24,New York,22,54,14
2021-09-25,New York,17,37,16
2021-09-26,New York,28,55,22
2021-09-27,New York,9,14,4
2021-09-28,New York,9,21,11
2021-09-29,New York,27,66,37
2021-09-30,New York,17,26,18
2021-10-01,New York,4,8,4
2021-10-02,New York,0,0,0
2021-10-03,New York,26,60,30
2021-10-04,New York,20,40,21
2021-10-05,New York,11,24,7
2021-10-06,New York,15,26,20
2021-10-07,New York,12,23,17
2021-10-08,New York,19,42,24
2021-10-09,New York,8,14,10
2021-10-10,New York,12,21,17
2021-10-11,New York,13,27,18
2021-10-12,New York,18,42,12
2021-10-13,New York,22,39,17
2021-10-14,New York,13,19,13
2021-10-15,New York,23,44,16
2021-10-16,New York,24,38,19
2021-10-17,New York,11,24,16
2021-10-18,New York,0,0,0
2021-10-19,New York,29,48,30
2021-10-20,New York,13,28,17
2021-10-21,New York,12,20,17
2021-10-22,New York,23,35,21
2021-10-23,New York,6,10,6
2021-10-24,New York,25,42,25
2021-10-25,New York,25,47,31
2021-10-26,New York,14,29,10
2021-10-27,New York,22,43,17
2021-10-28,New York,30,72,19
2021-10-29,New York,19,37,12
2021-10-30,New York,0,0,0
2021-10-31,New York,18,30,12
2021-11-01,New York,3,5,1
2021-11-02,New York,40,62,20
2021-11-03,New York,29,70,32
2021-11-04,New York,11,19,5
2021-11-05,New York,11,17,12
2021-11-06,New York,12,22,11
2021-11-07,New York,13,30,18
2021-11-08,New York,9,13,10
2021-11-09,New York,28,54,24
2021-11-10,New York,15,23,19
2021-11-11,New York,7,17,8
2021-11-12,New York,23,57,26
2021-11-13,New York,11,17,13
2021-11-14,New York,8,14,11
2021-11-15,New York,22,43,13
2021-11-16,New York,1,1,0
2021-11-17,New York,19,29,11
2021-11-18,New York,22,45,27
2021-11-19,New York,9,21,9
2021-11-20,New York,18,33,10
2021-11-21,New York,7,13,4
2021-11-22,New York,10,15,5
2021-11-23,New York,27,52,23
2021-11-24,New York,18,39,11
2021-11-25,New York,35,77,27
2021-11-26,New York,30,70,37
2021-11-27,New York,33,77,47
2021-11-28,New York,41,89,34
2021-11-29,New York,18,38,22
2021-11-30,New York,9,21,8
2021-12-01,New York,29,54,37
2021-12-02,New York,26,47,18
2021-12-03,New York,26,48,24
2021-12-04,New York,13,30,10
2021-12-05,New York,17,40,17
2021-12-06,New York,17,28,25
2021-12-07,New York,14,31,15
2021-12-08,New York,33,61,30
2021-12-09,New York,23,53,34
2021-12-10,New York,27,46,15
2021-12-11,New York,41,83,54
2021-12-12,New York,18,32,18
2021-12-13,New York,25,41,19
2021-12-14,New York,30,64,40
2021-12-15,New York,19,45,18
2021-12-16,New York,41,95,58
2021-12-17,New York,20,36,11
2021-12-18,New York,24,48,13
2021-12-19,New York,43,77,57
2021-12-20,New York,35,80,49
2021-12-21,New York,37,67,48
2021-12-22,New York,26,52,15
2021-12-23,New York,22,40,11
2021-12-24,New York,35,62,37
2021-12-25,New York,30,61,30
2021-12-26,New York,25,48,26
2021-12-27,New York,41,101,54
2021-12-28,New York,37,81,43
2021-12-29,New York,31,64,31
2021-12-30,New York,20,35,10
2021-12-31,New York,36,74,36
2022-01-01,New York,36,59,25
2022-01-02,New York,36,60,29
2022-01-03,New York,34,58,50
2022-01-04,New York,43,85,42
2022-01-05,New York,27,60,39
2022-01-06,New York,35,60,26
2022-01-07,New York,36,73,25
2022-01-08,New York,13,24,17
2022-01-09,New York,30,62,42
2022-01-10,New York,40,93,36
2022-01-11,New York,22,37,21
2022-01-12,New York,42,79,47
2022-01-13,New York,33,78,18
2022-01-14,New York,50,108,41
2022-01-15,New York,29,59,23
2022-01-16,New York,37,74,23
2022-01-17,New York,42,82,62
2022-01-18,New York,49,98,65
2022-01-19,New York,28,45,39
2022-01-20,New York,39,85,23
2022-01-21,New York,39,59,57
2022-01-22,New York,34,77,18
2022-01-23,New York,38,90,26
2022-01-24,New York,30,54,21
2022-01-25,New York,20,46,16
2022-01-26,New York,46,114,46
2022-01-27,New York,41,94,31
2022-01-28,New York,46,109,34
2022-01-29,New York,47,73,62
2022-01-30,New York,45,108,47
2022-01-31,New York,28,67,41
2022-02-01,New York,47,116,45
2022-02-02,New York,38,81,36
2022-02-03,New York,29,65,25
2022-02-04,New York,43,85,58
2022-02-05,New York,47,101,32
2022-02-06,New York,40,76,40
2022-02-07,New York,37,66,41
2022-02-08,New York,39,72,38
2022-02-09,New York,29,59,22
2022-02-10,New York,41,73,57
2022-02-11,New York,35,72,49
2022-02-12,New York,49,93,29
2022-02-13,New York,52,98,67
2022-02-14,New York,38,82,55
2022-02-15,New York,43,65,30
2022-02-16,New York,60,108,36
2022-02-17,New York,53,100,62
2022-02-18,New York,29,66,28
2022-02-19,New York,39,84,32
2022-02-20,New York,62,104,84
2022-02-21,New York,65,154,41
2022-02-22,New York,50,86,40
2022-02-23,New York,52,79,32
2022-02-24,New York,39,90,35
2022-02-25,New York,32,77,33
2022-02-26,New York,48,119,38
2022-02-27,New York,59,146,65
2022-02-28,New York,41,86,61
2022-03-01,New York,64,121,35
2022-03-02,New York,48,115,44
2022-03-03,New York,44,80,40
2022-03-04,New York,50,106,28
2022-03-05,New York,31,65,45
2022-03-06,New York,65,162,55
2022-03-07,New York,42,84,38
2022-03-08,New York,41,101,39
2022-03-09,New York,45,88,56
2022-03-10,New York,73,118,107
2022-03-11,New York,42,63,33
2022-03-12,New York,44,76,43
2022-03-13,New York,69,163,96
2022-03-14,New York,43,101,49
2022-03-15,New York,40,88,53
2022-03-16,New York,52,90,31
2022-03-17,New York,58,112,51
2022-03-18,New York,48,109,44
2022-03-19,New York,54,95,32
2022-03-20,New York,43,92,32
2022-03-21,New York,43,92,34
2022-03-22,New York,65,155,59
2022-03-23,New York,49,78,30
2022-03-24,New York,51,111,69
2022-03-25,New York,37,88,28
2022-03-26,New York,58,114,80
2022-03-27,New York,49,114,71
2022-03-28,New York,51,87,60
2022-03-29,New York,38,61,46
2022-03-30,New York,53,87,34
2022-03-31,New York,60,111,75
2022-04-01,New York,60,93,39
2022-04-02,New York,57,93,47
2022-04-03,New York,50,116,63
2022-04-04,New York,54,117,57
2022-04-05,New York,73,127,41
2022-04-06,New York,40,98,34
2022-04-07,New York,62,95,52
2022-04-08,New York,57,87,76
2022-04-09,New York,62,95,89
2022-04-10,New York,57,121,58
2022-04-11,New York,54,111,75
2022-04-12,New York,51,89,43
2022-04-13,New York,43,72,37
2022-04-14,New York,44,106,39
2022-04-15,New York,54,134,74
2022-04-16,New York,29,58,26
2022-04-17,New York,37,83,49
2022-04-18,New York,60,121,69
2022-04-19,New York,61,139,86
2022-04-20,New York,37,89,52
2022-04-21,New York,43,67,42
2022-04-22,New York,54,101,77
2022-04-23,New York,52,86,71
2022-04-24,New York,58,117,64
2022-04-25,New York,46,93,42
2022-04-26,New York,52,89,42
2022-04-27,New York,43,103,60
2022-04-28,New York,72,146,56
2022-04-29,New York,41,82,46
2022-04-30,New York,37,73,36
2022-05-01,New York,45,77,62
2022-05-02,New York,63,100,31
2022-05-03,New York,43,68,32
2022-05-04,New York,64,130,58
2022-05-05,New York,49,91,57
2022-05-06,New York,52,115,66
2022-05-07,New York,51,100,57
2022-05-08,New York,63,126,71
2022-05-09,New York,46,82,28
2022-05-10,New York,55,119,45
2022-05-11,New York,40,85,30
2022-05-12,New York,56,114,31
2022-05-13,New York,51,110,63
2022-05-14,New York,67,153,59
2022-05-15,New York,54,124,41
2022-05-16,New York,42,90,54
2022-05-17,New York,54,86,45
2022-05-18,New York,45,75,37
2022-05-19,New York,39,93,48
2022-05-20,New York,59,93,47
